City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Mataura,NZ,1616230937,-46.1927,168.8643,57.0,87,31,7.0
Jackson,US,1616230895,42.4165,-122.8345,37.99,80,48,3.0
Altinópolis,BR,1616230937,-21.0256,-47.3739,71.6,88,0,3.58
Coahuayana Viejo,MX,1616230938,18.7333,-103.6833,71.33,57,0,3.76
Cape Town,ZA,1616230938,-33.9258,18.4232,69.8,56,75,23.02
Port Lincoln,AU,1616230938,-34.7333,135.8667,73.33,59,0,14.47
Vanavara,RU,1616230938,60.34,102.2797,28.17,85,100,15.64
Kailua,US,1616230938,21.4022,-157.7394,71.6,68,20,16.11
Alice Springs,AU,1616230808,-23.7,133.8833,78.8,44,90,9.22
Coyhaique,CL,1616230939,-45.5752,-72.0662,48.0,98,100,7.87
Dhidhdhoo,MV,1616230803,6.8833,73.1,83.88,67,4,8.66
Bengkulu,ID,1616230939,-3.8004,102.2655,82.92,75,81,5.01
Litovko,RU,1616230939,49.2361,135.1742,24.37,95,100,2.89
Hervey Bay,AU,1616230940,-25.2986,152.8535,78.01,82,99,3.0
Tiksi,RU,1616230940,71.6872,128.8694,-25.04,96,15,5.77
Cam Ranh,VN,1616230843,11.9214,109.1591,84.2,74,20,10.36
Kaitangata,NZ,1616230941,-46.2817,169.8464,51.96,94,47,5.06
Husavik,IS,1616230861,66.0449,-17.3389,35.6,60,40,9.22
Ancud,CL,1616230942,-41.8697,-73.8203,52.0,93,0,5.75
Butaritari,KI,1616230942,3.0707,172.7902,81.99,79,9,19.1
Padang,ID,1616230800,-0.9492,100.3543,86.0,70,20,9.22
Kautokeino,NO,1616230943,69.0125,23.0412,23.54,84,39,7.14
Bluff,NZ,1616230943,-46.6,168.3333,57.0,87,37,7.0
Forsytheganj,BY,1616230943,52.6333,29.7333,36.34,49,0,5.41
Narsaq,GL,1616230943,60.9167,-46.05,33.8,80,90,10.36
Dana Point,US,1616230943,33.467,-117.6981,55.0,92,5,6.17
Riacho de Santana,BR,1616230944,-13.6092,-42.9389,66.06,89,23,3.53
Cherskiy,RU,1616230944,68.75,161.3,-21.96,97,0,2.35
Santa Lucía,ES,1616230944,27.9117,-15.5407,63.0,59,40,17.27
Port Hardy,CA,1616230944,50.6996,-127.4199,42.8,93,90,2.3
Iqaluit,CA,1616230944,63.7506,-68.5145,-13.0,70,75,17.27
Matara,LK,1616230945,5.9485,80.5353,85.41,60,38,8.88
Fuyang,CN,1616230899,32.9,115.8167,54.09,69,99,9.64
Torbay,CA,1616230945,47.6666,-52.7314,28.0,93,90,19.57
Zhigansk,RU,1616230945,66.7697,123.3711,11.37,92,100,27.13
Tongchuanshi,CN,1616230945,35.0806,109.0897,50.68,21,100,8.75
Kérouané,GN,1616230946,9.2667,-9.0167,81.23,60,98,3.83
Nelson Bay,AU,1616230946,-32.7167,152.15,69.8,100,90,14.97
Lavrentiya,RU,1616230946,65.5833,-171.0,-10.73,90,92,10.63
Barrow,US,1616230946,71.2906,-156.7887,-18.4,83,1,3.44
Tete,MZ,1616230946,-16.1564,33.5867,87.8,62,75,5.75
Vardø,NO,1616230947,70.3705,31.1107,32.67,80,78,17.87
Albany,US,1616230916,42.6001,-73.9662,28.0,39,0,3.51
Saldanha,ZA,1616230947,-33.0117,17.9442,69.8,56,1,17.27
Norman Wells,CA,1616230947,65.282,-126.8329,-5.8,77,75,13.8
Villalba,PR,1616230947,18.1272,-66.4921,69.01,89,5,1.01
Port Blair,IN,1616230948,11.6667,92.75,87.8,62,20,9.22
Clyde River,CA,1616230948,70.4692,-68.5914,-20.2,69,1,9.22
Egvekinot,RU,1616230948,66.3167,-179.1667,-12.41,75,100,10.56
Solok,ID,1616230948,-0.7918,100.6593,86.0,70,20,9.22
Cap-aux-Meules,CA,1616230948,47.3821,-61.8597,21.2,63,61,16.11
Waterloo,CA,1616230949,43.4668,-80.5164,30.0,86,1,6.4
Ilulissat,GL,1616230949,69.2167,-51.1,14.0,67,40,4.61
Gonder,ET,1616230949,12.6,37.4667,81.16,11,2,9.31
Provideniya,RU,1616230950,64.3833,-173.3,-3.64,88,100,18.37
Verkhoyansk,RU,1616230950,67.5447,133.385,3.33,76,0,3.49
Ormara,PK,1616230950,25.2088,64.6357,78.12,73,0,13.65
Thompson,CA,1616230950,55.7435,-97.8558,37.4,75,75,5.75
Muroto-misakicho,JP,1616230951,33.2833,134.15,60.8,100,75,13.8
Yaan,NG,1616230951,7.3833,8.5667,81.82,63,100,7.52
Mata,PT,1616230951,40.683,-7.4592,48.0,41,0,14.0
Salalah,OM,1616230804,17.0151,54.0924,86.0,54,0,12.66
Celestún,MX,1616230951,20.8667,-90.4,69.06,75,41,11.07
Arman',RU,1616230952,59.7,150.1667,4.19,89,0,2.8
Santa Cruz de la Sierra,BO,1616230952,-17.8,-63.1667,71.6,100,75,4.61
Mar del Plata,AR,1616230952,-38.0023,-57.5575,63.0,82,0,6.91
Carnarvon,AU,1616230952,-24.8667,113.6333,87.8,66,0,13.8
Pevek,RU,1616230953,69.7008,170.3133,-22.09,99,56,0.81
Kloulklubed,PW,1616230953,7.0419,134.2556,82.4,83,90,8.05
San Bartolomé de Tirajana,ES,1616230953,27.9248,-15.5733,63.0,59,40,17.27
Puerto Ayora,EC,1616230954,-0.7393,-90.3518,75.99,97,74,5.03
Port Moresby,PG,1616230803,-9.4431,147.1797,84.2,79,75,11.5
Neuquén,AR,1616230954,-38.9516,-68.0591,51.8,76,0,1.14
Tungor,RU,1616230954,53.3808,142.9564,15.22,80,0,1.99
Kangaatsiaq,GL,1616230954,68.3065,-53.4641,17.62,70,100,4.81
Mezen',RU,1616230955,65.8522,44.24,12.69,89,97,9.78
Abhaynagar,BD,1616230955,23.0129,89.4049,102.36,12,38,9.22
Ribeira Grande,PT,1616230955,38.5167,-28.7,60.8,88,40,14.97
San Patricio,US,1616230955,28.017,-97.5169,55.4,82,1,11.5
Riohacha,CO,1616230955,11.5444,-72.9072,75.22,83,66,9.01
Lüderitz,NA,1616230956,-26.6481,15.1594,74.1,53,17,23.02
Parambu,BR,1616230956,-6.2111,-40.6944,66.78,95,100,0.29
Bubaque,GW,1616230956,11.2833,-15.8333,74.61,58,0,13.73
Labuhan,ID,1616230956,-6.8844,112.2051,86.2,72,62,10.07
Ziro,IN,1616230956,27.6333,93.8333,89.6,43,40,3.44
Hasaki,JP,1616230850,35.7333,140.8333,57.99,88,75,5.75
Adrar,MR,1616230945,20.5022,-10.0711,65.52,28,0,17.6
Longyearbyen,SJ,1616230809,78.2186,15.6401,19.4,68,75,16.11
Hermanus,ZA,1616230958,-34.4187,19.2345,63.0,92,99,3.0
Tasiilaq,GL,1616230958,65.6145,-37.6368,26.6,86,90,9.22
Yārāda,IN,1616230958,17.65,83.2667,91.4,43,40,11.5
Adré,TD,1616230959,13.4667,22.2,98.33,9,2,23.06
Qaanaaq,GL,1616230959,77.484,-69.3632,-6.81,94,100,4.0
San Juan,AR,1616230959,-31.5375,-68.5364,61.59,69,0,4.54
Aksu,CN,1616230878,41.1231,80.2644,53.6,23,12,2.62
Esperance,AU,1616230804,-33.8667,121.9,84.2,39,0,18.41
Nantucket,US,1616230960,41.2835,-70.0995,33.01,65,0,10.47
Bethel,US,1616230960,41.3712,-73.414,30.99,49,0,6.69
Saskylakh,RU,1616230960,71.9167,114.0833,-27.18,98,99,6.87
Xinqing,CN,1616230960,48.2333,129.5,30.25,65,100,6.82
Acaraú,BR,1616230960,-2.8856,-40.12,73.22,94,46,7.11
Abhā,SA,1616230961,18.2164,42.5053,78.8,13,0,9.22
Alofi,NU,1616230961,-19.0595,-169.9187,75.2,100,100,10.36
Ust'-Omchug,RU,1616230961,61.15,149.6333,-10.37,94,0,1.74
East London,ZA,1616230961,-33.0153,27.9116,69.8,88,40,3.44
Metro,ID,1616230961,-5.1131,105.3067,84.15,75,98,3.47
Rach Gia,VN,1616230802,10.0167,105.0833,91.4,58,40,5.75
Marovoay,MG,1616230962,-16.1,46.6333,87.8,58,20,9.22
Bathsheba,BB,1616230962,13.2167,-59.5167,77.0,65,40,16.11
Kavieng,PG,1616230962,-2.5744,150.7967,83.77,75,100,9.35
Bara,NG,1616230962,10.3744,10.7288,84.2,65,88,11.5
Makkah al Mukarramah,SA,1616230800,21.4267,39.8261,97.38,14,0,10.09
Puerto Madryn,AR,1616230963,-42.7692,-65.0385,62.08,51,76,24.87
Toamasina,MG,1616230963,-18.1667,49.3833,84.2,79,40,9.22
Grand Gaube,MU,1616230963,-20.0064,57.6608,84.0,73,43,13.0
Deputatsky,RU,1616230963,69.3,139.9,-6.3,99,100,2.21
North Myrtle Beach,US,1616230964,33.816,-78.68,41.0,56,90,9.22
Mazabuka,ZM,1616230964,-15.856,27.748,77.13,67,14,8.86
Bushehr,IR,1616230964,28.9684,50.8385,73.4,46,0,24.16
Hithadhoo,MV,1616230964,-0.6,73.0833,83.19,72,98,11.01
Nikolskoye,RU,1616230964,59.7035,30.7861,26.01,54,20,15.66
Coquimbo,CL,1616230965,-29.9533,-71.3436,55.4,76,0,3.44
Khatanga,RU,1616230965,71.9667,102.5,-28.28,94,99,8.61
Vaasa,FI,1616230965,63.096,21.6158,37.99,87,0,12.66
Anloga,GH,1616230965,5.7947,0.8973,84.2,74,40,6.91
Broome,US,1616230965,42.2506,-75.833,21.2,53,1,8.05
Shīeli,KZ,1616230966,44.1667,66.75,51.82,51,99,7.09
Jamestown,US,1616230966,42.097,-79.2353,32.0,54,1,0.87
Itarema,BR,1616230966,-2.9248,-39.9167,73.13,94,52,6.64
Lufkin,US,1616230966,31.3382,-94.7291,42.01,93,1,3.67
Fortuna,US,1616230966,40.5982,-124.1573,43.0,100,75,6.91
Arraial do Cabo,BR,1616230966,-22.9661,-42.0278,75.97,89,0,14.85
Ambikāpur,IN,1616230837,23.1167,83.2,93.58,16,4,8.61
Talnakh,RU,1616230967,69.4865,88.3972,-20.36,87,0,1.77
Mount Gambier,AU,1616230967,-37.8333,140.7667,78.8,47,0,17.27
Mayo,US,1616230967,38.8876,-76.5119,39.0,60,1,3.44
Pringsewu,ID,1616230967,-5.3582,104.9744,83.3,76,91,1.14
Poum,NC,1616230968,-20.2333,164.0167,79.27,76,100,20.98
Yenagoa,NG,1616230968,4.9247,6.2642,81.14,78,100,6.8
Beringovskiy,RU,1616230968,63.05,179.3167,-0.51,91,100,17.85
Yellowknife,CA,1616230968,62.456,-114.3525,10.4,85,90,14.97
Souillac,MU,1616230969,-20.5167,57.5167,84.2,70,75,11.5
Luena,AO,1616230969,-11.7833,19.9167,75.2,78,40,3.29
Koungou,YT,1616230969,-12.7336,45.2042,87.8,70,40,8.05
Fairbanks,US,1616230969,64.8378,-147.7164,-8.0,70,1,6.91
Nanortalik,GL,1616230969,60.1432,-45.2371,32.99,98,100,12.77
Itoman,JP,1616230933,26.1247,127.6694,78.8,83,75,9.22
Severo-Kuril'sk,RU,1616230970,50.6789,156.125,25.0,82,100,22.37
Lagoa,PT,1616230970,39.05,-27.9833,58.53,84,100,17.6
Alto Longá,BR,1616230970,-5.2511,-42.2103,70.52,97,100,1.99
Nome,US,1616230970,64.5011,-165.4064,1.4,66,1,14.97
Chernyshevskiy,RU,1616230844,63.0128,112.4714,21.7,93,100,16.11
Leh,IN,1616230971,34.1667,77.5833,35.06,42,0,2.59
Cauquenes,CL,1616230971,-35.9671,-72.3225,45.28,91,23,1.07
Mozarlândia,BR,1616230971,-14.7447,-50.5706,68.79,94,83,2.13
Ucluelet,CA,1616230971,48.9329,-125.5528,42.01,91,99,6.85
Prince Rupert,CA,1616230972,54.3161,-130.3201,37.4,69,75,9.22
Opelika,US,1616230972,32.6454,-85.3783,54.0,71,90,8.05
Port Alfred,ZA,1616230973,-33.5906,26.891,74.98,83,100,3.8
Kirakira,SB,1616230973,-10.4544,161.9205,80.44,79,100,3.18
Severnyy-Kospashskiy,RU,1616230974,59.0925,57.8008,30.0,57,100,1.99
Sīwah,EG,1616230974,29.2041,25.5195,90.54,11,56,13.53
High Rock,BS,1616230974,26.6208,-78.2833,69.8,78,40,10.36
Cururupu,BR,1616230974,-1.8283,-44.8683,70.32,99,97,3.06
Vestmannaeyjar,IS,1616230974,63.4427,-20.2734,39.2,81,75,17.27
Wad Rāwah,SD,1616230975,15.1603,33.1397,99.16,16,0,17.72
Acapulco de Juárez,MX,1616230975,16.8634,-99.8901,73.13,72,0,5.14
Aykhal,RU,1616230975,66.0,111.5,-10.64,95,100,35.14
Qaqortoq,GL,1616230975,60.7167,-46.0333,33.8,80,90,10.36
Casablanca,MA,1616230789,33.5928,-7.6192,53.6,76,20,9.22
Pangnirtung,CA,1616230976,66.1451,-65.7125,-17.95,81,9,1.92
Kristinestad,FI,1616230976,62.2743,21.376,36.82,94,98,9.93
Katsuura,JP,1616230864,35.1333,140.3,63.0,60,47,10.4
Castro,BR,1616230976,-24.7911,-50.0119,60.93,97,98,7.31
La Pila,MX,1616230977,22.05,-100.8667,46.4,71,20,4.61
Bratsk,RU,1616230887,56.1325,101.6142,30.2,43,100,15.66
Byron Bay,AU,1616230702,-28.65,153.6167,71.6,94,75,10.51
Betong,TH,1616230977,5.7743,101.0723,90.75,44,100,3.65
Kieta,PG,1616230977,-6.2167,155.6333,81.18,79,100,2.24
Penzance,GB,1616230978,50.1186,-5.5371,46.99,81,40,3.44
Moses Lake,US,1616230978,47.1301,-119.2781,42.8,56,75,5.75
Tyumentsevo,RU,1616230978,53.3224,81.498,34.34,79,99,10.27
Madingou,CG,1616230978,-4.1536,13.55,78.89,79,100,3.15
Mpika,ZM,1616230978,-11.8343,31.4529,72.25,78,90,7.29
Darhan,MN,1616230979,49.4867,105.9228,28.89,68,7,8.21
Beba,CU,1616230979,22.4437,-79.7253,69.8,94,40,4.61
Whitehorse,CA,1616230979,60.7161,-135.0538,3.99,85,20,6.91
Herne Bay,GB,1616230979,51.373,1.1286,43.0,81,1,8.19
Kumul,CN,1616230956,42.8,93.45,47.1,9,0,4.0
Khonsa,IN,1616230980,27.0167,95.5667,82.62,28,90,4.43
Port Hedland,AU,1616230815,-20.3167,118.5667,78.8,53,90,21.85
Burgersdorp,ZA,1616230980,-30.9977,26.3286,64.6,57,100,15.23
Lima,PE,1616230803,-12.0432,-77.0282,71.01,83,0,5.75
Gambiran,ID,1616230980,-6.7988,111.4951,84.2,73,58,7.31
Kilindoni,TZ,1616230981,-7.9139,39.6668,84.31,67,60,3.2
Karratha,AU,1616230981,-20.7377,116.8463,86.59,42,68,21.5
Belmonte,BR,1616230981,-15.8631,-38.8828,71.6,94,40,3.44
Tuy Hoa,VN,1616230802,13.0833,109.3,82.6,75,0,8.48
Tabou,CI,1616230981,4.423,-7.3528,80.87,76,91,3.62
Pauini,BR,1616230982,-7.7136,-66.9764,72.48,98,100,0.58
Muros,ES,1616230982,42.7762,-9.0603,52.0,54,0,11.99
Portland,US,1616230886,45.5234,-122.6762,46.4,71,90,5.75
Faanui,PF,1616230982,-16.4833,-151.75,83.3,65,36,6.06
Barcelona,ES,1616230982,41.3888,2.159,53.01,57,0,10.36
Pokhara,NP,1616230848,28.2333,83.9833,89.06,11,16,8.66
São Filipe,CV,1616230983,14.8961,-24.4956,71.42,69,83,6.82
Xai-Xai,MZ,1616230983,-25.0519,33.6442,84.45,61,3,8.25
Lorengau,PG,1616230984,-2.0226,147.2712,83.37,71,100,5.77
Havelock,US,1616230984,34.8791,-76.9013,44.01,75,100,5.99
Vanimo,PG,1616230984,-2.6741,141.3028,80.98,83,100,4.54
Okha,RU,1616230888,53.5739,142.9478,15.35,81,0,2.75
Opuwo,NA,1616230984,-18.0607,13.84,77.77,58,87,5.59
Guerrero Negro,MX,1616230985,27.9769,-114.0611,58.41,83,0,9.66
Arlit,NE,1616230985,18.7369,7.3853,91.69,8,17,3.83
Bambous Virieux,MU,1616230985,-20.3428,57.7575,84.2,70,75,11.5
Vitim,RU,1616230985,59.4511,112.5578,23.47,92,100,15.79
Comodoro Rivadavia,AR,1616230986,-45.8667,-67.5,60.8,59,0,3.44
Latung,PH,1616230986,5.5,120.8833,83.53,77,38,6.8
Hua Hin,TH,1616230877,12.5707,99.9588,89.6,70,20,16.11
Airai,TL,1616230986,-8.9266,125.4092,68.23,84,86,2.59
Moerai,PF,1616230987,-22.4333,-151.3333,78.21,67,95,6.51
Shenzhen,CN,1616230764,22.5455,114.0683,80.01,78,0,8.95
Ukiah,US,1616230987,39.1502,-123.2078,41.0,81,40,3.09
Abnūb,EG,1616230988,27.2696,31.1511,78.8,24,0,10.36
Hong Kong,HK,1616230910,22.2855,114.1577,82.4,54,20,6.91
Wamba,NG,1616230989,8.9333,8.6,86.7,48,88,6.06
Terney,RU,1616230989,45.0503,136.6092,30.58,96,100,4.9
Jablah,SY,1616230989,35.3614,35.9256,62.6,48,40,8.05
Gunjur,GM,1616230989,13.2019,-16.7339,66.2,88,0,17.16
Moussoro,TD,1616230989,13.6408,16.4901,98.35,22,23,6.26
Broken Hill,AU,1616230692,-31.95,141.4333,78.8,34,100,13.8
Ürümqi,CN,1616230943,43.801,87.6005,37.4,56,0,4.47
Tigil',RU,1616230991,57.8,158.6667,6.71,96,100,5.61
Codrington,AU,1616230991,-38.2667,141.9667,68.63,61,62,13.87
Flinders,AU,1616230991,-34.5833,150.8552,71.01,95,100,5.99
College,US,1616230991,64.8569,-147.8028,-8.0,70,1,6.91
Zhangye,CN,1616230953,38.9342,100.4517,38.64,19,0,9.01
Kahului,US,1616230992,20.8947,-156.47,69.8,83,40,11.5
Ahipara,NZ,1616230992,-35.1667,173.1667,58.32,79,5,6.35
Yola,NG,1616230992,9.2,12.4833,89.6,58,91,5.75
City of San Pedro,PH,1616230992,14.35,121.0167,93.2,55,20,6.91
Kiruna,SE,1616230992,67.8557,20.2251,35.6,60,40,10.36
Marsh Harbour,BS,1616230993,26.5412,-77.0636,71.91,82,85,10.83
Saurimo,AO,1616230993,-9.6608,20.3916,75.2,78,20,3.42
Yumen,CN,1616230993,40.2833,97.2,39.16,19,0,10.71
Emerald,AU,1616230937,-23.5333,148.1667,86.0,58,75,9.22
Tsimmerbude,RU,1616230993,54.675,20.1347,30.2,55,40,6.71
Cockburn Town,TC,1616230994,21.4612,-71.1419,75.92,78,14,15.66
Nogliki,RU,1616230994,51.8333,143.1667,22.1,76,35,5.61
Atoka,US,1616230994,34.4001,-96.0169,41.0,87,1,8.05
Takoradze,GH,1616230994,4.8845,-1.7554,82.78,72,93,1.43
Kokoda,PG,1616230994,-8.8785,147.7407,76.64,98,100,1.1
Young,UY,1616230995,-32.6833,-57.6333,66.0,84,65,3.0
Rocha,UY,1616230995,-34.4833,-54.3333,57.76,95,90,5.79
Bandarbeyla,SO,1616230995,9.4942,50.8122,82.17,56,0,12.17
Half Moon Bay,US,1616230995,37.4636,-122.4286,48.99,93,75,8.05
Karlstad,SE,1616230996,59.3793,13.5036,35.6,80,99,3.44
Paamiut,GL,1616230996,61.994,-49.6678,28.89,88,41,18.79
Tual,ID,1616230996,-5.6667,132.75,84.6,67,25,5.99
Avarua,CK,1616230996,-21.2078,-159.775,78.8,83,75,6.91
Cabedelo,BR,1616230996,-6.9811,-34.8339,75.2,100,75,4.61
Imphal,IN,1616230891,24.8167,93.95,80.6,39,75,10.36
Menongue,AO,1616230997,-14.6585,17.691,74.44,76,87,5.48
Ostrovnoy,RU,1616230997,68.0531,39.5131,19.36,85,96,25.9
Gafanha da Encarnação,PT,1616230997,40.6181,-8.733,53.01,50,0,5.75
San Quintín,MX,1616230997,30.4833,-115.95,58.91,85,0,14.97
San Miguel,SV,1616230998,13.4833,-88.1833,75.97,61,100,3.0
Pisco,PE,1616230998,-13.7,-76.2167,68.0,77,0,9.22
Gloucester,GB,1616230998,51.8657,-2.2431,46.99,93,90,3.38
Olafsvik,IS,1616230999,64.8945,-23.7142,37.94,77,100,20.11
Leningradskiy,RU,1616230999,69.3833,178.4167,-16.11,87,100,3.56
Gazli,UZ,1616231000,40.1333,63.45,59.52,52,100,5.19
Koster,ZA,1616231000,-25.863,26.8976,71.85,50,41,12.48
Kaukauna,US,1616231000,44.278,-88.272,33.01,43,1,4.61
Inírida,CO,1616231000,3.8653,-67.9239,72.43,94,98,1.5
Rockport,US,1616231001,28.0206,-97.0544,57.0,82,1,9.22
Araouane,ML,1616231001,18.9048,-3.5265,81.75,8,0,11.72
Galveston,US,1616231001,29.3669,-94.9669,54.0,62,1,11.5
Carndonagh,IE,1616231001,55.25,-7.2667,47.75,93,100,4.7
Mil'kovo,RU,1616231001,54.7167,158.6167,20.95,79,90,6.11
Constitución,CL,1616231002,-35.3333,-72.4167,53.22,83,15,7.16
Dikson,RU,1616231002,73.5069,80.5464,-20.58,89,100,18.68
Burnie,AU,1616230782,-41.0667,145.9167,60.01,79,1,4.0
‘Ewa Beach,US,1616231002,21.3156,-158.0072,71.6,68,1,5.75
Ishigaki,JP,1616230849,24.3448,124.1572,77.0,78,40,9.22
Avera,US,1616231003,33.194,-82.5271,44.6,53,90,16.11
Bima,ID,1616231003,-8.4667,118.7167,83.12,88,77,2.15
Mtwara,TZ,1616231003,-10.2667,40.1833,80.6,89,75,8.05
Powell,US,1616231003,40.1578,-83.0752,28.99,59,1,3.44
Marsá Maţrūḩ,EG,1616231003,31.3525,27.2453,64.4,68,0,25.32
Lompoc,US,1616231003,34.6391,-120.4579,51.8,87,40,5.75
Rawson,AR,1616231004,-43.3002,-65.1023,62.47,50,93,24.36
Morón,AR,1616231004,-34.6534,-58.6198,64.99,97,100,1.99
Viedma,AR,1616231004,-40.8135,-62.9967,62.89,61,0,11.79
Geraldton,AU,1616230771,-28.7667,114.6,95.0,15,76,14.97
Sanguéya,GN,1616231004,10.7,-14.3667,78.19,51,12,2.08
São João da Barra,BR,1616231005,-21.6403,-41.0511,74.05,91,0,6.76
Loa Janan,ID,1616231005,-0.583,117.095,82.71,89,100,2.48
Kostanay,KZ,1616231005,53.1667,63.5833,32.0,93,90,15.66
Margate,GB,1616231005,51.3813,1.3862,44.01,71,11,4.0
Waipawa,NZ,1616231006,-41.4122,175.5153,59.0,77,90,12.66
Eucaliptus,BO,1616231006,-17.5833,-67.5167,43.3,83,100,11.21
Kiryat Gat,IL,1616231006,31.61,34.7642,73.99,41,9,3.0
Stokmarknes,NO,1616231006,68.5646,14.9108,39.0,88,100,13.0
Khandyga,RU,1616231006,62.6667,135.6,16.56,96,100,3.74
Aleksandrov Gay,RU,1616231007,50.147,48.5704,29.12,86,100,12.41
Nchelenge,ZM,1616231007,-9.3451,28.734,77.77,65,68,7.0
Verkhniy Fiagdon,RU,1616231008,42.8333,44.3053,46.4,61,75,8.95
Ligaya,PH,1616231008,12.6599,120.8923,85.24,71,56,5.23
Aklavik,CA,1616231008,68.2191,-135.0107,-13.0,84,13,3.44
Kempele,FI,1616231008,64.9131,25.5034,34.0,80,0,5.75
Green River,US,1616231009,41.5286,-109.4662,42.8,42,1,11.5
San Francisco,US,1616230725,37.7749,-122.4194,51.01,81,20,12.66
Grand-Santi,GF,1616231009,4.25,-54.3833,67.86,99,100,1.34
Maputo,MZ,1616231009,-25.9653,32.5892,82.0,78,75,6.91
Kenai,US,1616231009,60.5544,-151.2583,12.99,71,20,4.61
Savannakhet,LA,1616231010,16.566,104.751,98.6,39,40,2.3
Praia,CV,1616231010,14.9215,-23.5087,69.8,73,20,14.97
Caniço,PT,1616231010,32.6333,-16.85,60.8,63,75,10.36
Tuatapere,NZ,1616231010,-46.1333,167.6833,57.0,87,59,7.0
São Geraldo do Araguaia,BR,1616231010,-6.4006,-48.555,69.64,98,100,1.88
Mahébourg,MU,1616231011,-20.4081,57.7,84.2,70,75,11.5
Praia da Vitória,PT,1616231011,38.7333,-27.0667,57.99,82,40,13.31
Nakambala,ZM,1616231011,-15.8324,27.7799,77.5,67,17,8.88
Río Gallegos,AR,1616231011,-51.6226,-69.2181,39.2,75,0,11.5
Edgewater,US,1616231011,28.9889,-80.9023,61.0,77,90,16.11
Ixtapa,MX,1616231012,20.7,-105.2,66.0,82,0,2.86
Necochea,AR,1616231012,-38.5473,-58.7368,59.0,83,100,4.0
Dawei,MM,1616231012,14.0833,98.2,91.69,42,3,9.78
Sola,VU,1616231013,-13.8833,167.55,82.42,76,98,11.27
Vila Franca do Campo,PT,1616231013,37.7167,-25.4333,55.4,76,20,5.75
Kumylzhenskaya,RU,1616231013,49.8809,42.5898,37.0,73,86,7.0
Senanga,ZM,1616231013,-16.1167,23.2667,82.51,49,0,9.42
Ballina,AU,1616231014,-28.8667,153.5667,71.6,94,75,11.48
Oodweyne,SO,1616231014,9.4092,45.064,85.41,23,0,4.25
Kruisfontein,ZA,1616231014,-34.0033,24.7314,70.0,79,88,1.01
